,leiden,cell_type,X_umap_1,X_umap_2,X_fa_1,X_fa_2,X_pca_1,X_pca_2,X_pca_3,X_pca_4,X_pca_5,X_pca_6,X_pca_7,X_pca_8,X_pca_9,X_pca_10
hindbrain_E10.5_embryo1_sc47-0-1,3,NPC 2,5.605740070343018,12.456889152526855,-259.8004365478301,-471.00570043769056,24.49135971069336,5.300255298614502,16.651517868041992,-5.524193286895752,3.9911048412323,-5.501725196838379,8.535168647766113,-2.83945631980896,-10.65440559387207,-4.660647869110107
hindbrain_E10.5_embryo1_sc48-0-1,0,NPC 2,8.920331001281738,14.217262268066406,-332.1262459327084,-174.09078340495932,11.968955993652344,-6.856297016143799,-0.7392401099205017,-5.499166011810303,2.918982982635498,7.91376256942749,3.6877567768096924,-6.317015647888184,-4.119177341461182,-0.4712352156639099
hindbrain_E10.5_embryo1_sc50-0-1,3,NPC 2,4.9616193771362305,12.854532241821289,-275.08786352445185,-544.6850178435351,21.4303035736084,-4.6733598709106445,11.83819580078125,-3.3578858375549316,1.1964789628982544,-6.87010383605957,6.071055889129639,5.457878589630127,-1.9967390298843384,-2.0052642822265625
hindbrain_E10.5_embryo1_sc51-0-1,0,NPC 2,9.359919548034668,13.097033500671387,-284.41475080581114,-98.83234770549242,1.9936803579330444,-6.519532680511475,-4.511538505554199,-4.350255966186523,4.080343246459961,-0.5250845551490784,5.5909423828125,1.0269849300384521,-0.3960987329483032,-1.1445541381835938
hindbrain_E10.5_embryo1_sc52-0-1,4,RGC 2,10.505167961120605,12.319740295410156,-223.0084830393786,71.33202264990986,-7.338189125061035,-6.3857927322387695,-1.326328158378601,-3.0193774700164795,1.1583373546600342,-3.0301685333251953,3.0251548290252686,3.1789023876190186,-1.1944942474365234,-1.55152428150177
hindbrain_E10.5_embryo1_sc53-0-1,3,NPC 2,5.118028163909912,12.468376159667969,-237.31209309087194,-497.8234151248434,23.126163482666016,0.029219122603535652,13.157644271850586,-0.8715487718582153,-2.075313091278076,-5.375470161437988,0.9948754906654358,-1.2921395301818848,-3.838141441345215,0.9643124341964722
hindbrain_E10.5_embryo1_sc54-0-1,4,RGC 2,11.261780738830566,12.54686164855957,-219.92609493513163,145.55340835661218,-7.75173807144165,-7.301395893096924,3.7907516956329346,-6.099070072174072,2.4512860774993896,-4.201633930206299,6.559727191925049,-2.176819324493408,-2.8034698963165283,-2.422980546951294
hindbrain_E10.5_embryo1_sc55-0-1,0,NPC 2,8.842073440551758,13.804463386535645,-299.84975682151725,-178.2462286231089,9.49995231628418,-4.60067892074585,-0.025107532739639282,-3.624810218811035,2.4069066047668457,3.1190078258514404,7.244401931762695,0.5188161730766296,0.20587007701396942,-0.9649862051010132
hindbrain_E10.5_embryo1_sc56-0-1,0,NPC 2,10.110698699951172,13.47406005859375,-307.41634386628505,-12.261610512395364,-3.8601701259613037,-3.7996692657470703,-3.48332142829895,-6.863363742828369,3.3686304092407227,-5.556904315948486,9.255141258239746,3.4330692291259766,-3.4922120571136475,-5.848929405212402
hindbrain_E10.5_embryo1_sc57-0-1,0,NPC 2,9.170149803161621,12.47697925567627,-222.99806138655376,-86.48506473336302,2.47021484375,-9.05872917175293,-9.729023933410645,1.581666350364685,-1.0816574096679688,-0.9970675110816956,0.18068227171897888,2.4147238731384277,-2.23461651802063,1.806694746017456
hindbrain_E10.5_embryo1_sc58-0-1,3,NPC 2,5.9158101081848145,12.201284408569336,-239.14699987412416,-445.17224548070556,19.151180267333984,-2.1771628856658936,8.23267650604248,1.5128602981567383,-3.641671895980835,-5.213875770568848,0.9035609364509583,-0.8830969929695129,0.12205522507429123,0.2680095136165619
hindbrain_E10.5_embryo1_sc59-0-1,4,RGC 2,10.470776557922363,12.847752571105957,-276.46437555403463,47.65808380656496,-5.996226787567139,-4.970729351043701,-2.171814441680908,-0.9979187846183777,-0.09456640481948853,-3.1466920375823975,6.132523536682129,2.358076810836792,-2.0708963871002197,-3.471201181411743
hindbrain_E10.5_embryo1_sc60-0-1,0,NPC 2,8.50484848022461,13.31338119506836,-262.8274325793288,-169.33197115333948,9.440914154052734,-5.581428527832031,-6.653268814086914,-2.6666107177734375,1.2758526802062988,0.10052672773599625,5.969386577606201,0.2572765052318573,-4.493982315063477,1.7698769569396973
hindbrain_E10.5_embryo1_sc61-0-1,0,NPC 2,8.951083183288574,13.546566009521484,-281.98916668565465,-138.30308308510848,11.931561470031738,-2.8286662101745605,-0.25125542283058167,-2.9544224739074707,3.1972005367279053,-0.9818539023399353,4.672574520111084,-0.9142632484436035,3.0678646564483643,-2.908071756362915
hindbrain_E10.5_embryo1_sc62-0-1,0,NPC 2,8.9929780960083,13.322014808654785,-263.6251782756055,-118.58386737385388,8.27157211303711,-5.937888145446777,-9.876758575439453,-2.5329222679138184,2.6691036224365234,1.910854697227478,10.083325386047363,0.877310037612915,-4.6281046867370605,2.2313613891601562
hindbrain_E10.5_embryo1_sc63-0-1,3,NPC 2,4.052247524261475,13.129908561706543,-277.62136847022055,-614.2301119543797,36.49814224243164,0.29644984006881714,23.884397506713867,-1.0905462503433228,-2.2436206340789795,-11.923822402954102,4.039403915405273,8.307452201843262,-4.060995101928711,0.7330919504165649
hindbrain_E10.5_embryo1_sc64-0-1,3,NPC 2,6.322320938110352,12.67379093170166,-230.3050944984858,-363.6541852782809,13.821615219116211,-6.067795753479004,8.49145221710205,0.05678553879261017,-1.3458969593048096,-1.3235949277877808,1.166498064994812,-1.2048197984695435,-2.233816146850586,3.229062080383301
hindbrain_E10.5_embryo2_sc67-1-1,1,RGC 1,10.526993751525879,9.560994148254395,46.22870065406742,128.75346960110102,-9.081255912780762,-4.1965765953063965,0.9753124117851257,-0.7520806193351746,-3.376307725906372,-1.9120032787322998,-2.6069107055664062,-1.0771254301071167,0.8594510555267334,-0.7407035231590271
hindbrain_E10.5_embryo2_sc68-1-1,3,NPC 2,4.289669513702393,12.895583152770996,-271.3108917886375,-596.3733028362444,30.306194305419922,-1.382601261138916,19.22265625,-0.8167690634727478,-2.64780855178833,-10.447165489196777,1.5447862148284912,7.008734226226807,-2.5807220935821533,3.1339774131774902
hindbrain_E10.5_embryo2_sc70-1-1,5,RGC 2,13.060501098632812,9.875268936157227,-51.23867081022349,341.9243310526466,-6.98351526260376,-6.188327789306641,4.557815074920654,1.6702516078948975,-1.6183116436004639,-3.029677391052246,3.4131298065185547,1.6470921039581299,-4.160088539123535,1.7945622205734253
hindbrain_E10.5_embryo2_sc71-1-1,5,RGC 2,12.714056015014648,9.599501609802246,-69.36025113366549,368.63183902181606,-7.984862327575684,-8.46828842163086,2.839817523956299,1.7972609996795654,-1.7446790933609009,-4.258804798126221,1.7242045402526855,-4.240222454071045,-3.108809471130371,1.730912685394287
hindbrain_E10.5_embryo2_sc72-1-1,3,NPC 2,5.661379814147949,12.317463874816895,-204.44064836709958,-464.83838006067907,23.969255447387695,-0.6527998447418213,9.45212459564209,5.926396369934082,-6.187383651733398,-3.6186256408691406,-7.301112174987793,-2.6571671962738037,0.45661461353302,0.21826109290122986
hindbrain_E10.5_embryo2_sc74-1-1,0,NPC 2,9.105284690856934,11.305802345275879,-132.3768375077693,-87.03512742430722,10.478292465209961,-3.6044435501098633,-4.35845947265625,5.507699489593506,-3.667203664779663,-2.3942742347717285,-1.1963348388671875,-3.3112974166870117,-7.38666296005249,10.083666801452637
hindbrain_E10.5_embryo2_sc75-1-1,5,RGC 2,11.263766288757324,9.547615051269531,-10.849126725329135,175.33335490609943,-7.07642936706543,-9.890853881835938,-0.6915719509124756,3.669858932495117,-3.9465878009796143,-3.6722052097320557,-1.9745228290557861,1.2317882776260376,-0.5528762936592102,1.7588635683059692
