,leiden,cell_type,X_umap_1,X_umap_2,X_fa_1,X_fa_2,X_pca_1,X_pca_2,X_pca_3,X_pca_4,X_pca_5,X_pca_6,X_pca_7,X_pca_8,X_pca_9,X_pca_10
forebrain_E9.5_embryo1_sc3-0-0,5,NEC,3.397178888320923,-1.5440374612808228,-46.87576400219569,-116.23510826152788,-3.7650833129882812,2.7264628410339355,-2.366560459136963,6.730954647064209,-3.936661720275879,3.8574445247650146,-2.382997751235962,2.776472568511963,-2.2361364364624023,-2.8584203720092773
forebrain_E9.5_embryo1_sc30-0-0,5,NEC,3.7198903560638428,-1.351664423942566,-62.451723400275604,-107.20852411546213,-8.640702247619629,3.000248432159424,-0.9449928402900696,6.318516731262207,-1.792326807975769,1.1300007104873657,-2.118673801422119,2.4053730964660645,-3.3867855072021484,-5.036077499389648
forebrain_E9.5_embryo1_sc31-0-0,4,NEC,6.487790584564209,0.03738250955939293,-89.70142037309564,-78.23129387264179,-15.855840682983398,-0.2181178778409958,-3.089444160461426,6.419552803039551,-0.8823686242103577,-1.8422929048538208,-6.589908599853516,2.0896806716918945,-1.5288398265838623,-2.7631232738494873
forebrain_E9.5_embryo1_sc32-0-0,4,NEC,5.623337268829346,1.285861611366272,-54.1346183479914,-65.10832306457128,-11.24279499053955,1.1957485675811768,-0.7393096089363098,2.9370055198669434,2.024909019470215,-2.1202540397644043,-1.554225206375122,0.3501223921775818,-2.066004753112793,-0.7397754192352295
forebrain_E9.5_embryo1_sc33-0-0,4,NEC,5.451808452606201,-0.05814120173454285,-81.39160818492049,-88.14797345855445,-12.750182151794434,-0.8798511028289795,-2.617553949356079,7.236827373504639,0.5724350810050964,0.07923955470323563,-4.207983016967773,2.2856554985046387,-4.908373832702637,-2.404980421066284
forebrain_E9.5_embryo1_sc35-0-0,4,NEC,6.356871604919434,1.1321572065353394,-60.0076081427913,-58.24595334615125,-11.386138916015625,0.3359873592853546,-1.7288941144943237,4.2151594161987305,1.0307705402374268,-0.23859085142612457,-4.4080424308776855,1.1438508033752441,-1.0542024374008179,0.23615482449531555
forebrain_E9.5_embryo1_sc36-0-0,5,NEC,5.00149393081665,-0.6830861568450928,-76.72780874750053,-102.31383999319753,-10.598776817321777,1.835961103439331,-3.5508005619049072,4.920892715454102,-2.1896371841430664,2.506713390350342,-2.0624067783355713,3.0284829139709473,-3.642547369003296,-3.5662107467651367
forebrain_E9.5_embryo1_sc37-0-0,5,NEC,3.868309497833252,-0.6266826391220093,-57.79035149295015,-109.45559227631132,-9.099945068359375,1.223371148109436,-1.82850980758667,6.476870059967041,-1.9114184379577637,1.7980256080627441,-3.286318063735962,1.4459377527236938,-1.8517589569091797,-5.2944817543029785
forebrain_E9.5_embryo1_sc38-0-0,4,NEC,6.468069076538086,0.6184675693511963,-80.96355041288997,-62.51605923933554,-15.220812797546387,-0.9624229669570923,-2.1972596645355225,7.128542423248291,0.6438983082771301,-2.1799283027648926,-4.175719261169434,1.6962571144104004,-1.5496569871902466,-0.6680343151092529
forebrain_E9.5_embryo1_sc39-0-0,5,NEC,3.1380960941314697,-0.8264528512954712,-59.38581101829023,-123.40029463306293,-10.111675262451172,4.371703147888184,-5.900818347930908,6.616909503936768,-3.769597053527832,4.1454854011535645,-1.7628551721572876,4.244473934173584,-3.9359967708587646,-4.355946063995361
forebrain_E9.5_embryo1_sc4-0-0,5,NEC,3.306567430496216,-0.8705295324325562,-53.157175390147756,-114.96443837860531,-7.090719699859619,0.21665915846824646,-4.331651210784912,4.8373236656188965,-4.4376630783081055,3.6499996185302734,-2.0784268379211426,3.7094931602478027,0.12293219566345215,-3.139373779296875
forebrain_E9.5_embryo1_sc40-0-0,5,NEC,3.9465737342834473,-0.2076655626296997,-67.35437359447936,-103.40718619287095,-9.93657398223877,1.4859572649002075,-1.6709973812103271,5.12070894241333,-2.8605892658233643,1.188384771347046,-2.239225387573242,1.6809133291244507,-2.9682955741882324,-3.507960319519043
forebrain_E9.5_embryo1_sc41-0-0,4,NEC,6.513194561004639,-0.42433956265449524,-87.86781055298954,-73.83566561730294,-12.141073226928711,1.7083407640457153,-2.752963066101074,5.611874103546143,-0.44751301407814026,-1.2997612953186035,-3.407395601272583,1.567678689956665,-2.10001802444458,0.3245187997817993
forebrain_E9.5_embryo1_sc42-0-0,4,NEC,5.817234039306641,0.5541679263114929,-73.37457781930638,-73.58000593975841,-11.190593719482422,0.2062840759754181,-1.2350996732711792,6.978250980377197,0.2467702329158783,-1.7240300178527832,-3.2020139694213867,0.38068658113479614,-2.3232898712158203,-1.4573984146118164
