curve1,curve2
forebrain_E9.5_embryo1_sc10-0-0,0.652730823245184,0.652541200306874
forebrain_E9.5_embryo1_sc12-0-0,1.67934400398366,1.67891494021403
forebrain_E9.5_embryo1_sc13-0-0,7.3916212798396,7.38813493535976
forebrain_E9.5_embryo1_sc14-0-0,2.66798305407903,2.66859311449429
forebrain_E9.5_embryo1_sc15-0-0,0.298527545639319,0.298526996122605
forebrain_E9.5_embryo1_sc16-0-0,4.7023155077526,4.68359373082624
forebrain_E9.5_embryo1_sc17-0-0,0.659188712911241,0.659275180488267
forebrain_E9.5_embryo1_sc18-0-0,2.57027998331392,2.57518290044804
forebrain_E9.5_embryo1_sc19-0-0,2.81653237859382,2.82444805597638
forebrain_E9.5_embryo1_sc2-0-0,1.92316849783242,1.92304402088205
forebrain_E9.5_embryo1_sc20-0-0,1.57233229968056,1.57178197294624
forebrain_E9.5_embryo1_sc21-0-0,4.02566356414676,4.03803137958619
forebrain_E9.5_embryo1_sc22-0-0,1.92354215944386,1.92370666556151
forebrain_E9.5_embryo1_sc24-0-0,1.90344594337122,1.90344780021351
forebrain_E9.5_embryo1_sc25-0-0,1.20438205189927,1.20456033701797
forebrain_E9.5_embryo1_sc26-0-0,2.65405988364876,2.66096824137829
forebrain_E9.5_embryo1_sc27-0-0,0.43762692469134,0.437643875756034
forebrain_E9.5_embryo1_sc28-0-0,4.742015368452,4.75864052237651
forebrain_E9.5_embryo1_sc29-0-0,4.01454517553222,4.03152153570888
forebrain_E9.5_embryo1_sc3-0-0,0,0
forebrain_E9.5_embryo1_sc30-0-0,0.374982714479596,0.374967593551004
forebrain_E9.5_embryo1_sc31-0-0,3.33971722897539,3.34685319300695
forebrain_E9.5_embryo1_sc32-0-0,3.54987834260223,3.5315239069588
forebrain_E9.5_embryo1_sc33-0-0,2.50260482777479,2.50224047993613
forebrain_E9.5_embryo1_sc35-0-0,3.99461537091813,3.98767429854543
forebrain_E9.5_embryo1_sc36-0-0,1.80784716588583,1.80796486750278
forebrain_E9.5_embryo1_sc37-0-0,0.83760572609276,0.837502340003825
forebrain_E9.5_embryo1_sc38-0-0,3.69530347922446,3.70117998500657
forebrain_E9.5_embryo1_sc39-0-0,0.0960717907605434,0.0960695567478929
