NEC 1,Gja1,Serpinh1,Raly,Wfdc2,Emb,Gar1,Metrn,Zic3,Spry1,Prmt1,Fbl,Atp1a1,Slc2a1,Il17rd,Gsta4,Spr,Bex1,Chtf8,Txndc5,Gsr,Oaf,Isyna1,Galk1,Ntrk2,Zic4,Nt5dc2,Sulf2,Rangrf,Six3os1,A430005L14Rik,Tmed9,Scube1,Tsen15,Ccne1,Srsf9,Eif4ebp1,Sdc1,Ifitm2,H2-K1,Tmem107,Etv4,Umps,Rbpms,Fgf17,Plscr1,Irs4,Fndc4,Gga2,Slc16a3,Gatm,Apoe,Slc16a2,2410127L17Rik,Scd1,Lsr,Etv5,Tmem121,Utp18,Prss23,Fbn2,Ung,Exosc6,Bcl7c,Epcam,Prrx1,Usp51,Tmem88,5930403L14Rik,Kitl,Vcpkmt,Gldc,Galnt12,Prok2,Stat4,Xaf1,Serpinf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC 2,Nhp2,Eno1b,Dkc1,Adarb2,Hmga2,Prps1,2810004N23Rik,Tcof1,Eif4ebp1,Wdr43,Sfrp1,Nup62,Srm,Srpk1,Spc24,Wdr18,Mcm5,Gpd2,Umps,Ccne1,Rrp1b,2010204K13Rik,Slc16a3,Timm8a1,Gnl3,Mbnl3,Ung,Emid1,Ccdc86,Mest,Ftsj3,Phactr2,Ppat,Nr2e1,Hmces,Aif1l,Ddah1,Timeless,Mcm10,Cyba,Trip6,Chaf1b,Mns1,Pgm2,Haus2,Akap5,Lsr,Ppap2c,Cmtm8,Fos,Hist1h1b,Adamts3,Speg,Maob,Xrcc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGC,Efnb1,Nr2e1,3110039M20Rik,Sfrp1,Id4,Sox9,Ptprz1,Hmga2,AI854517,Oxct1,Dnajc1,Mt1,Rgcc,Gpc4,E2f3,Zfp935,Shisa2,Ppap2b,Mycn,Topbp1,Emx2,Ddah1,Gas1,Plagl1,Acss1,Fgfr3,Hs6st2,Mt3,Fezf2,Epha4,Ttyh1,Haus4,Thbs3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPC,Tbr1,Eomes,Lhx9,Sorbs2,Bcl11a,Slc17a6,Cacna2d1,Lhx2,Igfbpl1,Fyn,Neurod1,Dcx,Ap3s1,Map2,Sbk1,Emx1,Celf2,Apc2,Nrn1,AI854517,Vcan,Nxph4,Mfap4,Nrep,Aff3,Tagln3,Kif21b,Elavl3,Igsf8,Ncan,Efnb2,Syp,Mycbp2,Sel1l3,Dcc,Atat1,Nfib,Rtn1,Kdm1a,Nav1,Afap1,Neurod2,Foxg1,Kdm6b,Ptprs,Podxl2,Wdr47,Tmem163,Scrt2,Bcl11b,Add2,Cep170,Neurod6,Fnbp1l,Dner,Ppp2r2b,Gdpd1,Ank3,Crmp1,Hbb-y,Kat6b,Ccni,Atcay,Zc4h2,Elavl2,Rab33a,E130114P18Rik,Tmem178,Cnr1,Rbfox2,Chst8,Aplp1,Rasgrp1,Akap9,Smarcc2,Top2b,Tmem176b,2010107G23Rik,Myt1l,Hbb-bh1,Nhlh1,Fbrsl1,Dvl3,Myef2,Ptms,Nsg2,Samd10,Ndn,Mast1,Rc3h2,Tshz1,Emx2,Nr2f1,Nap1l2,Hist3h2a,Slco5a1,Zfp637,Epha3,Scn3a,Hist3h2ba,Zfp57,Mtus1,Nfia,Svip,Hba-x,Samd14,Samd3,Celf3,Mex3b,Gpm6b,Dscaml1,Celf5,Cdkn1b,Rabgap1l,March6,Gstm7,Serpini1,Wnt7b,Ccndbp1,Lbh,Pgap1,Coro2b,Nbr1,Atxn2l,Zbtb18,Nrxn1,A730020E08Rik,Gria2,Reln,Actl6b,Cbln2,Golga4,Robo2,Hdgfrp3,Sptbn2,Sgpl1,Tmem2,9330159F19Rik,Trim46,Rcan2,Ccng2,Cdk5r1,Cntn2,Nacad,Nedd4l,Kidins220
IPC,Dlx2,Dlx5,Dlx1,Foxg1,Gad2,Dlx6os1,Mpped2,Dlx1as,Gm12657,Dlx6,Gm14204,Pfn2,3110039M20Rik,Ncan,Arx,Gad1,Nrxn3,Sp9,Dclk2,Plxna2,Ccdc88a,Isl1,Six3,Pola2,Slc18a2,Med31,St18,E130006D01Rik,Rbp1,Rufy3,Slc25a12,Add2,Ttc9b,Sox4,Tmem35,Amn1,Myo1b,Arl4d,Nol4,Grina,Enox1,Gstm7,Gm17750,Pak3,Chd3,Plgrkt,Zfp68,Gal3st3,Fbrsl1,Phf21b,Grik3,Meis1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
